年份,平均高温,平均低温,极端高温,极端低温
2012,13.2,2.1,32,-27
2013,13.3,2.8,33,-28
2014,15.2,3.2,35,-24
2015,14.7,3.5,34,-22
2016,14.2,3.4,35,-24
2017,14.9,3.1,36,-21
2018,14.3,2.8,38,-28
2019,14.9,3.8,35,-25
2020,14.3,3.9,34,-22
2021,14.7,4.1,35,-27
2022,16.8,5.6,36,-21
