年份,平均高温,平均低温,极端高温,极端低温
2012,20.5,13.4,38,-4
2013,22.2,13.7,41,-4
2014,21.4,13.4,37,-3
2015,21.0,13.7,39,-3
2016,21.6,14.2,39,-10
2017,21.8,14.1,41,-3
2018,21.7,13.9,37,-5
2019,21.6,14.0,39,0
2020,21.5,14.2,38,-4
2021,22.0,14.3,38,-6
2022,23.0,14.8,41,-6
