年份,平均高温,平均低温,极端高温,极端低温
2011,15.5,4.1,37,-19
2012,15.7,4.1,35,-19
2013,17.4,5.3,36,-19
2014,17.0,4.9,38,-15
2015,16.8,4.9,37,-14
2016,16.5,5.3,37,-22
2017,16.5,5.2,40,-16
2018,16.6,4.7,36,-22
2019,16.9,5.2,35,-16
2020,16.8,5.2,36,-19
2021,17.3,5.4,38,-21
2022,19.5,6.9,38,-16
